
2024/07/21 (20:42:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/22 (09:26:45) | ===> btop++ v.1.3.2
2024/07/22 (09:26:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/22 (20:05:50) | ===> btop++ v.1.3.2
2024/07/22 (20:05:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/28 (20:01:11) | ===> btop++ v.1.3.2
2024/06/28 (20:01:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/01 (12:48:36) | ===> btop++ v.1.3.2
2024/08/01 (12:48:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/08 (16:44:07) | ===> btop++ v.1.3.2
2024/08/08 (16:44:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/08 (18:41:52) | ===> btop++ v.1.3.2
2024/08/08 (18:41:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/09 (13:32:21) | ===> btop++ v.1.3.2
2024/08/09 (13:32:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/10 (15:07:47) | ===> btop++ v.1.3.2
2024/08/10 (15:07:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/10 (15:12:36) | ===> btop++ v.1.3.2
2024/08/10 (15:12:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/10 (16:25:53) | ===> btop++ v.1.3.2
2024/08/10 (16:25:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/10 (16:36:40) | ===> btop++ v.1.3.2
2024/08/10 (16:36:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/10 (18:52:04) | ===> btop++ v.1.3.2
2024/08/10 (18:52:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/12 (19:48:04) | ===> btop++ v.1.3.2
2024/08/12 (19:48:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/13 (03:55:54) | ===> btop++ v.1.3.2
2024/08/13 (03:55:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/13 (13:13:04) | ===> btop++ v.1.3.2
2024/08/13 (13:13:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/13 (14:03:42) | ===> btop++ v.1.3.2
2024/08/13 (14:03:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/13 (15:43:34) | ===> btop++ v.1.3.2
